order_month,customer_state,num_orders
1,AC,8
1,AL,39
1,AM,12
1,AP,11
1,BA,264
1,CE,99
1,DF,151
1,ES,159
1,GO,164
1,MA,66
1,MG,971
1,MS,71
1,MT,96
1,PA,82
1,PB,33
1,PE,113
1,PI,55
1,PR,443
1,RJ,990
1,RN,51
1,RO,23
1,RR,2
1,RS,427
1,SC,345
1,SE,24
1,SP,3351
1,TO,19
2,AC,6
2,AL,39
2,AM,16
2,AP,4
2,BA,273
2,CE,101
2,DF,196
2,ES,186
2,GO,176
2,MA,67
2,MG,1063
2,MS,75
2,MT,84
2,PA,83
2,PB,47
2,PE,146
2,PI,46
2,PR,460
2,RJ,1176
2,RN,31
2,RO,25
2,RR,7
2,RS,473
2,SC,316
2,SE,27
2,SP,3357
2,TO,28
3,AC,4
3,AL,40
3,AM,14
3,AP,8
3,BA,340
3,CE,126
3,DF,207
3,ES,182
3,GO,199
3,MA,77
3,MG,1237
3,MS,79
3,MT,71
3,PA,109
3,PB,55
3,PE,153
3,PI,48
3,PR,504
3,RJ,1302
3,RN,52
3,RO,29
3,RR,8
3,RS,569
3,SC,362
3,SE,43
3,SP,4047
3,TO,28
4,AC,9
4,AL,51
4,AM,19
4,AP,5
4,BA,318
4,CE,143
4,DF,183
4,ES,188
4,GO,177
4,MA,73
4,MG,1061
4,MS,58
4,MT,92
4,PA,107
4,PB,51
4,PE,154
4,PI,50
4,PR,500
4,RJ,1172
4,RN,42
4,RO,20
4,RR,4
4,RS,488
4,SC,351
4,SE,27
4,SP,3967
4,TO,33
5,AC,10
5,AL,46
5,AM,19
5,AP,11
5,BA,368
5,CE,136
5,DF,208
5,ES,228
5,GO,226
5,MA,65
5,MG,1190
5,MS,74
5,MT,104
5,PA,75
5,PB,47
5,PE,174
5,PI,56
5,PR,524
5,RJ,1321
5,RN,39
5,RO,26
5,RR,3
5,RS,559
5,SC,379
5,SE,19
5,SP,4632
5,TO,34
6,AC,7
6,AL,34
6,AM,8
6,AP,4
6,BA,307
6,CE,121
6,DF,220
6,ES,204
6,GO,184
6,MA,59
6,MG,1080
6,MS,76
6,MT,83
6,PA,92
6,PB,51
6,PE,140
6,PI,43
6,PR,478
6,RJ,1128
6,RN,49
6,RO,22
6,RR,8
6,RS,526
6,SC,321
6,SE,37
6,SP,4104
6,TO,26
7,AC,9
7,AL,40
7,AM,23
7,AP,7
7,BA,405
7,CE,140
7,DF,243
7,ES,206
7,GO,192
7,MA,79
7,MG,1111
7,MS,74
7,MT,85
7,PA,96
7,PB,79
7,PE,210
7,PI,52
7,PR,523
7,RJ,1288
7,RN,56
7,RO,27
7,RR,6
7,RS,565
7,SC,356
7,SE,42
7,SP,4381
7,TO,23
8,AC,7
8,AL,34
8,AM,9
8,AP,5
8,BA,323
8,CE,130
8,DF,232
8,ES,200
8,GO,213
8,MA,70
8,MG,1177
8,MS,59
8,MT,78
8,PA,104
8,PB,46
8,PE,170
8,PI,43
8,PR,556
8,RJ,1307
8,RN,40
8,RO,23
8,RS,599
8,SC,365
8,SE,43
8,SP,4982
8,TO,28
9,AC,5
9,AL,20
9,AM,9
9,AP,2
9,BA,170
9,CE,77
9,DF,97
9,ES,93
9,GO,88
9,MA,42
9,MG,511
9,MS,33
9,MT,35
9,PA,41
9,PB,29
9,PE,76
9,PI,23
9,PR,183
9,RJ,612
9,RN,24
9,RO,16
9,RR,2
9,RS,279
9,SC,157
9,SE,16
9,SP,1648
9,TO,17
10,AC,6
10,AL,30
10,AM,3
10,AP,3
10,BA,170
10,CE,74
10,DF,104
10,ES,104
10,GO,117
10,MA,52
10,MG,600
10,MS,34
10,MT,55
10,PA,58
10,PB,31
10,PE,87
10,PI,25
10,PR,225
10,RJ,725
10,RN,27
10,RO,14
10,RR,4
10,RS,276
10,SC,189
10,SE,25
10,SP,1908
10,TO,13
11,AC,5
11,AL,26
11,AM,10
11,AP,4
11,BA,250
11,CE,108
11,DF,168
11,ES,170
11,GO,157
11,MA,56
11,MG,943
11,MS,46
11,MT,74
11,PA,70
11,PB,30
11,PE,126
11,PI,31
11,PR,378
11,RJ,1048
11,RN,44
11,RO,17
11,RR,2
11,RS,422
11,SC,303
11,SE,27
11,SP,3012
11,TO,17
12,AC,5
12,AL,14
12,AM,6
12,AP,4
12,BA,192
12,CE,81
12,DF,131
12,ES,113
12,GO,127
12,MA,41
12,MG,691
12,MS,36
12,MT,50
12,PA,58
12,PB,37
12,PE,103
12,PI,23
12,PR,271
12,RJ,783
12,RN,30
12,RO,11
12,RS,283
12,SC,193
12,SE,20
12,SP,2357
12,TO,14
